,ZFP36,GADD45B,PNRC1,RP1.63G5.5,KIF21B,ELFN2,CSPG5,CP,ATF3,RGS1,CD40,ARPP21,SPHKAP,MBOAT1,RP11.838N2.4,JUNB,OLFML2B,TNFRSF1A,CEBPD,TNFAIP3,FCGR2A,SGK1,PRDM1,STX11,ARMCX4,C1orf85,PNRC1,FPR3,TRAM2,LCP2,FCGR2A,GBP2,CCRL2,OLFML2B,CAP1,KYNU,HMOX1,PLAUR,SERPINA5,SERPINE1,FCGR2A,CTD.2245E15.3,SPIRE2,CXCL1
CGGA_1001,175838.1098,54938.0879,20669.71174,38.81635963,2988.859808,1002.755959,5544.270035,20378.58889,14226.19585,30399.67911,2219.00189,1843.777088,25.87757344,394.6329931,19.40817981,128624.4776,26828.57402,26446.88002,39178.6458,8041.455887,45699.79426,36836.72536,5725.413071,1772.613765,284.6532898,5240.20855,20669.71174,9057.150617,4787.350879,12951.72537,45699.79426,19298.20023,1507.368639,26828.57402,40414.29989,1352.103199,47375.3671,14006.23648,815.1435553,53476.005,45699.79426,6.469393094,582.2453944,265.2451253
CGGA_1004,78685.1688,17579.24193,54844.82797,30.10144068,29710.12266,7314.650362,15381.83771,10866.62048,18542.48808,22365.37126,5267.752299,3672.375907,1294.361997,3642.274455,30.10144068,46296.01656,10294.69312,50570.42227,28445.86247,14388.4892,36272.23728,34466.15036,5237.650895,1685.68075,2378.01385,11227.83787,54844.82797,11679.35941,10083.98377,32058.03559,36272.23728,37867.61365,2648.926876,10294.69312,118720.0869,3461.665806,33021.28174,8217.693558,84946.26872,3702.477336,36272.23728,90.30432445,5267.752299,60.20288377
CGGA_1006,51254.9173,14654.12118,19945.24985,0,10352.20354,2668.568399,18288.89689,7177.528815,31125.62955,9362.994315,7453.587675,5176.102499,4301.916298,4071.867289,92.01959917,100899.4923,16632.54261,66645.19403,41638.86898,7637.626893,12767.71936,36508.77619,6855.460051,2047.436087,1265.269542,10398.21483,19945.24985,5383.146599,22521.79561,11824.51861,12767.71936,25167.36061,2346.4998,16632.54261,198670.3178,2783.5929,23810.07145,15620.32724,1334.2842,131150.9349,12767.71936,46.00980124,6901.47002,1104.2352
CGGA_1007,38796.24312,15449.49206,29212.19207,76.67241605,61261.26091,6900.51754,45811.77075,10772.4746,7322.215682,19014.75945,4868.698572,3258.577714,728.387962,1955.146622,76.67241605,38029.51839,10350.77642,58616.06238,37569.48425,11079.16423,14759.44022,77362.46854,9814.069395,1878.474212,1878.474117,17826.33692,29212.19207,996.7414214,19513.12867,21353.26809,14759.44022,23921.79405,1955.146622,10350.77642,169484.3779,881.7327973,24496.83736,9737.396826,75100.63253,50143.76077,14759.44022,76.67241605,8012.267528,575.0431268
CGGA_1008,95610.28813,28174.13428,27386.47065,30.29476878,11875.55002,1726.801779,198461.0244,2908.297721,18388.92428,21721.34871,4120.088334,5089.521045,0,2726.529135,0,81977.64177,6149.838022,56015.02515,61922.50596,18782.75609,12057.31773,33203.06692,8421.945474,817.9587434,2150.928432,9664.03098,27386.47065,1363.264562,22569.6035,7361.628773,12057.31773,30688.60005,817.9587434,6149.838022,107425.247,454.4215207,38474.35539,5725.711176,272.6529135,12511.73922,12057.31773,121.1790724,4816.86825,363.5372171
CGGA_1011,136190.9122,39191.47629,18222.65223,10.64407269,6237.427028,957.9665534,8994.241059,25865.09705,40319.74801,84215.90447,1032.475044,3895.730664,255.4577491,1436.949836,10.64407269,67664.37137,7865.969806,28472.89484,13911.80325,12379.05668,20660.14541,85791.22716,6822.850688,1926.577194,628.0003095,7227.325422,18222.65223,4044.747687,11123.05606,14561.09171,20660.14541,32177.03225,1341.153184,7865.969806,76264.78235,1245.356525,24747.4694,5662.646744,5981.968948,133966.301,20660.14541,31.93221806,872.8139183,383.1866225
CGGA_1015,87384.28789,10593.53499,16026.43454,0,4950.249624,903.4206242,346.5174528,3997.326859,17858.02678,34057.7199,2450.3737,160.8831284,12.3756251,3205.286866,309.3906245,55195.28759,95292.31226,61073.70967,12041.4831,17709.51937,24800.75243,25073.01634,5086.381891,1460.323743,594.0300384,11991.98057,16026.43454,8390.673725,40530.17154,28501.0643,24800.75243,29528.24121,1101.43062,95292.31226,75243.7993,1695.460619,27114.99428,18068.41248,952.9231226,112642.9384,24800.75243,12.3756251,2574.129992,148.5074992
CGGA_1027,13668.67135,51776.92732,33679.60681,574.0842003,44095.13393,24658.28327,23400.76474,3444.505202,73318.75365,7080.371807,1995.625984,26763.25867,3608.529259,519.4095052,82.01202762,49890.6496,6670.311669,40213.23183,11563.69595,16402.40575,13887.37017,24931.65607,2405.686168,683.4335789,2296.336755,4346.637446,33679.60681,4920.721715,8884.635788,6096.227365,13887.37017,48086.38612,683.4335789,6670.311669,70721.70613,1421.54183,235593.2208,6533.625018,902.1323154,55276.10728,13887.37017,82.01202762,8638.600415,2077.638058
CGGA_1034,204914.3167,81905.27993,13751.62515,75.55837669,14099.19238,3400.126943,39471.69516,34303.50287,18768.70065,102562.9401,1919.182778,8855.441716,3944.147246,967.1472236,45.33502508,95309.33613,3898.812201,31114.93942,28334.39114,10049.26411,9867.924023,56034.0912,1949.406178,1737.842659,1737.84269,2735.213174,13751.62515,2191.192915,11394.20369,19705.62449,9867.924023,23166.19817,1314.715746,3898.812201,70647.082,967.1472173,25312.05614,6150.451911,1027.593919,25599.17791,9867.924023,15.11167503,2312.086354,1057.817269
CGGA_1035,16219.77846,13254.25268,15124.18122,0,4481.238412,659.0057275,1260.348698,47118.90941,13015.36309,5585.073533,2314.757656,518.9670113,724.9062991,873.1825881,214.1768606,32793.77262,15626.67329,34325.96086,21261.1722,19407.71864,35470.98324,8459.985706,3253.840721,1507.475597,420.1161274,5642.73651,15124.18122,6169.94111,7660.941209,11145.43435,35470.98324,10165.16331,1285.061164,15626.67329,54367.97191,3006.713625,277433.1731,23337.04027,403.6410071,191737.716,35470.98324,41.18785757,2528.934464,9489.682455
