,ZFP36,GADD45B,PNRC1,KIF21B,ELFN2,CSPG5,CP,ATF3,RGS1,CD40,ARPP21,SPHKAP,MBOAT1,JUNB,OLFML2B,TNFRSF1A,CEBPD,TNFAIP3,FCGR2A,SGK1,PRDM1,STX11,ARMCX4,C1orf85,PNRC1.1,FPR3,TRAM2,LCP2,FCGR2A.1,GBP2,CCRL2,OLFML2B.1,CAP1,KYNU,HMOX1,PLAUR,SERPINA5,SERPINE1,FCGR2A.2,SPIRE2,CXCL1
CGGA_1001,184585.9859,76007.83514,19584.1633,522.8334628,248.5299911,4493.790432,19007.94191,13753.83381,39334.01326,2862.697305,1097.213887,3.681925794,211.7107332,161747.0002,22227.78602,34264.00144,31222.73074,3630.378833,46476.9493,29236.33177,1980.876077,1623.729275,631.4502738,10077.4309,19584.1633,6099.110079,1121.146404,12225.8346,46476.9493,14223.27934,1809.666528,22227.78602,28159.36848,1400.972765,47765.62333,17870.22684,949.936855,28013.93241,46476.9493,324.0094699,438.1491695
CGGA_1006,60248.77675,25711.42234,23252.28859,1195.880109,631.626818,15866.46567,5625.689526,32507.7269,12918.87385,6577.340598,2223.326399,943.2293816,2240.169781,158302.524,12969.404,64493.30897,39371.40499,4791.942126,17096.03254,38091.30797,4017.146563,1962.253981,6880.521471,27294.70023,23252.28859,4076.098399,5516.207544,12337.77718,17096.03254,20035.20267,4640.35169,12969.404,179828.3659,1608.542963,27294.70023,24347.10841,1532.747745,77900.64089,17096.03254,4379.279272,875.8558543
CGGA_1007,49240.69541,24770.7564,33816.02423,13941.33024,2053.856686,39749.38799,13329.32243,10870.91822,27789.30335,7821.25223,2987.427908,186.7142442,1410.729845,57912.53475,6887.681009,63679.93029,35641.67462,8516.244139,19522.01153,66200.57259,4979.046513,1877.515456,5487.324177,36035.84913,33816.02423,746.8569769,5196.879798,26316.33542,19522.01153,24667.02626,2624.372433,6887.681009,151518.6092,1089.166425,28899.2158,15113.48077,92019.00336,30444.79482,19522.01153,5912.617734,995.8093025
CGGA_1011,153386.6577,59495.00393,20199.1385,1162.286958,225.4132282,7054.729627,22527.2345,49608.52062,115925.7968,1105.933651,2345.706406,56.35330706,943.9178932,89686.28818,5018.96641,28905.72444,11978.59983,6367.923698,26313.47231,64376.60915,2764.834128,1919.534522,1813.872071,15236.5254,20199.1385,2937.41613,2785.966618,15676.78561,26313.47231,32473.59319,1711.731702,5018.96641,61576.55421,1334.868961,27401.79556,7332.974081,6065.024672,73100.8055,26313.47231,630.4526227,707.9384199
CGGA_1015,111335.0974,16252.33186,17659.50667,1016.889678,250.6418221,325.8343687,4006.688556,24684.63888,49687.95093,3179.570543,103.8373263,3.580597458,2162.680865,80964.46973,70312.19229,76553.17366,11382.71932,11128.4969,33997.77287,19976.15322,2166.261462,1493.10914,1303.337475,26764.966,17659.50667,6377.044074,10935.14464,32891.36825,33997.77287,33113.3653,1357.046437,70312.19229,66094.24849,1937.103225,31484.19345,27570.60043,1002.567288,62406.2331,33997.77287,1890.555458,261.3836145
CGGA_1034,208724.3728,117159.2802,13830.01534,2606.013624,808.1940985,29886.68789,25952.92682,18295.70008,130828.4814,1942.1399,4115.1924,989.6254268,762.8362665,127463.755,2131.818107,26472.48017,22621.18788,5995.480711,12193.00995,38789.19329,667.9971631,1434.956869,4836.794273,6061.455739,13830.01534,1418.463112,2622.507381,23660.29458,12193.00995,16551.48526,1476.191262,2131.818107,56627.19161,977.2551089,25816.85332,8230.384799,960.7613518,13236.24008,12193.00995,1773.07889,1731.844497
CGGA_1035,18730.02052,20391.00148,20692.18474,712.7009876,146.1186125,1004.938213,41396.29753,16243.02209,7711.484327,2334.915788,325.0393626,149.100625,471.1579751,47464.69297,10985.73405,34648.00324,18733.00253,12303.78358,45335.53605,6599.193664,1431.366,1473.114175,1180.87695,12655.66105,20692.18474,4496.874851,1971.110263,13102.96293,45335.53605,9202.490577,1541.700463,10985.73405,47482.58505,3447.206451,307010.115,34290.16174,477.1220001,111479.5553,45335.53605,1541.700463,18488.4775
CGGA_1171,68260.92035,29187.10582,33105.58281,3007.474889,99.27587012,8251.576734,37543.79818,7871.992525,14821.30343,8812.193413,2400.140154,332.8661528,2365.101612,50245.2698,9454.56669,54303.90096,27709.64728,9016.58491,47494.74422,40849.10068,1716.888577,1261.387526,4011.913104,28392.89886,33105.58281,7959.588881,2768.044849,30080.58865,47494.74422,23487.50292,4911.235693,9454.56669,101991.3572,3784.162579,174380.9858,10523.24223,1109.553843,8368.371876,47494.74422,1325.624854,1243.868255
CGGA_1338,34501.94185,15681.74661,19093.10381,2923.270704,514.3277002,14805.29023,41487.35174,14458.90627,49165.52955,3579.300934,4707.67293,692.7679227,629.7890207,71528.28802,34648.89262,38259.68301,43114.30671,7919.596935,33457.54172,26073.26546,2419.439488,1228.08859,3589.797418,23774.53553,19093.10381,9068.961898,4062.139183,17277.21213,33457.54172,34244.778,3043.980267,34648.89262,79285.18946,4335.047759,120688.5693,50241.41912,1411.777055,36522.51496,33457.54172,2052.062559,28854.83363
CGGA_1340,50261.42221,30400.72422,47536.3497,20525.80043,19832.98539,128595.7101,9579.322704,6946.625529,186145.5466,609.6772406,19574.33444,1838.269256,1256.304617,56090.30613,9015.833133,25772.71971,24895.15399,4507.916567,6050.584736,110102.1671,1108.504074,434.1640956,9810.261053,12729.32178,47536.3497,443.4016295,4101.465073,13172.72341,6050.584736,2706.597447,775.9528516,9015.833133,99414.34035,387.9764258,11842.51852,2013.782401,2429.471428,3094.573873,6050.584736,7002.050733,341.7887561
CGGA_1408,44132.51651,21328.73372,43751.85868,12228.63261,3378.338191,102730.0303,6792.363052,16320.70422,11491.10807,8077.083209,10991.49468,11.89555701,2069.82692,42693.15411,6471.183013,90965.32445,21875.92934,12692.55933,43882.70981,26883.95884,2854.933682,3342.65152,8541.009933,39445.66704,43751.85868,8338.785464,2747.873669,52602.1531,43882.70981,21733.18266,3425.920419,6471.183013,121941.3549,3699.51823,39481.35371,9849.521204,892.1667757,5079.402843,43882.70981,9135.787783,130.8511271
CGGA_235,32981.73942,18137.31533,61314.69123,28280.12467,18912.11326,320449.3828,968.4974203,6057.511138,8663.64965,1919.385797,45748.29632,14439.41608,968.4974203,24881.57918,3028.755569,15513.56777,12766.5569,3222.455053,5141.840849,86988.67738,3187.236965,422.6170561,26219.86652,16922.29129,61314.69123,739.5798482,2975.928437,10248.46361,5141.840849,7747.979362,810.0160242,3028.755569,110690.4506,158.481396,17327.2993,1285.460212,0,528.2713202,5141.840849,15443.13159,281.7447041
CGGA_276,32077.90848,14538.02925,80439.10782,22217.18036,12496.07316,120841.9142,3176.376139,27644.94398,10139.96998,4642.395895,23369.05302,8935.739467,3473.070613,35289.18985,3804.67032,30385.00471,6684.351984,4066.459562,16649.7958,176864.812,2582.98719,1291.493595,13106.91473,24049.70505,80439.10782,2530.629341,2216.482251,10628.64323,16649.7958,7487.172327,3158.923523,3804.67032,143984.0832,1413.661908,16126.21732,3019.302593,1535.830221,1308.946211,16649.7958,9668.749346,610.8415652
CGGA_330,176656.7745,61402.25265,34327.98234,1782.566402,64.19214189,6132.818479,15159.2212,24881.86177,71806.31749,2903.459956,2310.917108,24.68928534,1372.724265,86091.53799,4014.477797,49427.94926,19000.874,5021.800639,47265.16786,45522.10432,3451.562091,1427.040693,2133.154254,13485.28765,34327.98234,6952.502753,3061.471383,19242.829,47265.16786,32812.06022,2404.736393,4014.477797,64641.48689,1950.453542,31197.38096,14428.41836,3579.946375,5604.467773,47265.16786,2187.470681,3397.245663
