Feature,Value
exponential_glrlm_GrayLevelNonUniformity,0
lbp-3D-m1_glszm_LargeAreaLowGrayLevelEmphasis,1943
logarithm_gldm_GrayLevelNonUniformity,16
logarithm_glrlm_GrayLevelNonUniformity,3
logarithm_glszm_GrayLevelNonUniformity,0.167643731
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.085608912
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,2.313134337
log-sigma-4-0-mm-3D_firstorder_RootMeanSquared,27.01978442
log-sigma-4-0-mm-3D_glrlm_GrayLevelNonUniformity,6.32455532
log-sigma-4-0-mm-3D_glszm_ZoneEntropy,3.16227766
log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformity,5.099019514
log-sigma-5-0-mm-3D_glszm_ZoneEntropy,19.28730152
original_firstorder_Kurtosis,9.958333333
original_glrlm_GrayLevelNonUniformity,4.529697473
original_glszm_GrayLevelNonUniformity,0.717517373
original_shape_Maximum2DDiameterColumn,31.19675888
original_shape_Maximum2DDiameterRow,3.132728925
original_shape_Maximum2DDiameterSlice,16
original_shape_Maximum3DDiameter,855.5
original_shape_Sphericity,943
original_shape_SurfaceArea,13339511
square_glcm_Idmn,1.501614472
square_glszm_GrayLevelNonUniformity,40.25
squareroot_gldm_GrayLevelNonUniformity,2.693351641
squareroot_glrlm_GrayLevelNonUniformity,947
squareroot_glszm_GrayLevelNonUniformity,31.1953125
wavelet-HHL_glszm_LargeAreaEmphasis,912.3125
wavelet-HHL_glszm_ZoneVariance,929
wavelet-HLH_glszm_LargeAreaEmphasis,827
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,120
wavelet-HLH_glszm_ZoneVariance,20.625
wavelet-LHH_glszm_LargeAreaEmphasis,913.0823826
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,-1.115753953
wavelet-LLL_firstorder_Kurtosis,13339511
wavelet-LLL_glcm_Imc2,0.4453125
wavelet-LLL_glrlm_GrayLevelNonUniformity,1405.339844
wavelet-LLL_glszm_GrayLevelNonUniformity,22.49487179
